,year,country,gdp_per_capita,suicides_per_100k,unemployment_rate
354,2011,Spain,34097.0,7.286463485389071,21.39
355,2011,Sweden,63380.0,12.515977004818652,7.8
356,2011,United Kingdom,44491.0,7.460702832512809,8.04
357,2012,Austria,50979.0,15.88788630847701,4.87
358,2012,Belgium,47678.0,19.40122978515867,7.54
359,2012,Finland,50232.0,17.082644385523782,7.69
360,2012,Germany,45142.0,12.60506636797992,5.38
361,2012,Greece,23309.0,4.819824888551038,24.44
362,2012,Hungary,13525.0,24.848778416492816,11.0
363,2012,Iceland,48083.0,12.447937343139166,6.0
364,2012,Italy,36497.0,7.495366896624946,10.65
365,2012,Luxembourg,113120.0,10.178746776730186,5.14
366,2012,Malta,23074.0,6.263497837840547,6.2
367,2012,Netherlands,52334.0,11.086206429583047,5.82
368,2012,Norway,108408.0,10.9421162052741,3.12
369,2012,Romania,9015.0,13.10289464211872,6.79
370,2012,Russian Federation,16413.0,22.011825450939455,5.44
371,2012,Spain,30146.0,7.985313881839782,24.79
372,2012,Sweden,60776.0,12.89542669391319,7.98
373,2012,United Kingdom,44585.0,7.442810193434349,7.88
374,2013,Austria,53229.0,15.978484123315283,5.33
375,2013,Belgium,49489.0,18.002785254132352,8.43
376,2013,Finland,52572.0,17.27215601878167,8.19
377,2013,Germany,48563.0,13.059235116807358,5.23
378,2013,Greece,22994.0,5.109627391207357,27.47
379,2013,Hungary,14333.0,22.17548739431663,10.18
380,2013,Iceland,51749.0,16.308544345927523,5.38
381,2013,Italy,37050.0,7.460437378836367,12.15
382,2013,Luxembourg,120423.0,7.8020008231110864,5.85
383,2013,Malta,25191.0,5.462744085337995,6.11
384,2013,Netherlands,54510.0,11.67331718692176,7.24
385,2013,Norway,109804.0,11.620090171060731,3.42
386,2013,Romania,10080.0,12.666191136349942,7.1
387,2013,Russian Federation,17052.0,21.296975884355625,5.46
388,2013,Spain,30792.0,8.756970332456243,26.09
389,2013,Sweden,64133.0,13.63019680341965,8.05
390,2013,United Kingdom,45594.0,8.027718527220514,7.52
391,2014,Austria,54278.0,16.14019615128793,5.62
392,2014,Belgium,50173.0,17.950914882225362,8.52
393,2014,Finland,52832.0,15.29086362177574,8.66
394,2014,Germany,50167.0,13.174323533559626,4.98
395,2014,Greece,22834.0,5.44287309714989,26.49
396,2014,Hungary,14886.0,20.45090147573705,7.73
397,2014,Iceland,56833.0,14.451246748469485,4.9
398,2014,Italy,37035.0,7.137610584771854,12.68
399,2014,Luxembourg,126352.0,12.763363432011278,5.85
400,2014,Malta,27634.0,7.871594612877438,5.72
401,2014,Netherlands,55325.0,11.56639563941224,7.42
402,2014,Norway,103443.0,11.35238849696448,3.48
403,2014,Romania,10526.0,11.655617398159109,6.8
404,2014,Russian Federation,15319.0,19.701744055304378,5.16
405,2014,Spain,31171.0,8.85387063446846,24.44
406,2014,Sweden,62956.0,12.595281991687113,7.95
407,2014,United Kingdom,49906.0,7.904840512908581,6.11
408,2015,Austria,46484.0,15.220114981824675,5.72
409,2015,Belgium,42830.0,17.57282982610899,8.48
410,2015,Finland,44862.0,14.107075209623224,9.38
411,2015,Germany,43201.0,12.910709301545344,4.62
412,2015,Greece,18927.0,5.120369332530336,24.9
413,2015,Hungary,13087.0,19.894522818474517,6.81
414,2015,Iceland,54909.0,12.963695171671732,3.98
415,2015,Italy,31537.0,6.861937423294664,11.9
416,2015,Luxembourg,107456.0,11.901485454153246,6.67
417,2015,Malta,25750.0,8.279818915489837,5.38
418,2015,Netherlands,47206.0,11.664446083293235,6.87
419,2015,Norway,79187.0,12.082961202021172,4.3
420,2015,Romania,9431.0,11.810902364072971,6.81
421,2015,Russian Federation,9987.0,18.560937227489777,5.57
422,2015,Spain,27108.0,8.156332174367718,22.06
423,2015,Sweden,54629.0,12.968312991440913,7.43
424,2015,United Kingdom,47240.0,8.038250678888389,5.3
